,Unnamed: 0,raw_row_number,date,time,location,lat,lng,district,substation,subject_age,subject_race,subject_sex,type,violation,arrest_made,citation_issued,outcome,contraband_found,search_conducted,search_basis,speed,posted_speed,vehicle_color,vehicle_make,vehicle_model,vehicle_registration_state,vehicle_year,raw_race,raw_posted_speed,raw_actual_speed,raw_search_reason,raw_contraband_or_evidence,raw_custodial_arrest_made
20219,20219,1054538,2016-08-08,16:02:00,0003000  US HWY 90 W,29.41978,-98.5889416,5120.0,WEST,31.0,black,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,83.0,83.0,SILVER,ACUR,MDX,TX,2004.0,B,--,--,,,
17028,17028,558125,2014-03-05,17:36:00,0000000S WW WHITE                                                                                            RD,29.427441,-98.4049889,4240.0,EAST,33.0,hispanic,female,vehicular,DISREGARD RED LIGHT,False,True,citation,,False,,,,GRAY,GMC,YUK,TX,2004.0,H,-,-,,,
18278,18278,837545,2015-06-19,00:00:00,4435   NWLOOP 1604,29.59706349999999,-98.570049,7260.0,PRUE,40.0,white,male,,NO COMPLAINT MADE,False,True,citation,,False,,,,YELLOW,PDF,PDF,TX,2014.0,W,-,-,No Search,No,No
56714,56714,1339435,2018-03-14,12:46:00,0007200SEMILITARY                                                                                            DR,29.4089477,-98.6291795,5150.0,WEST,36.0,hispanic,female,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,60.0,60.0,BLUE,VW,JETT,TX,2017.0,H,--,--,,,
17271,17271,193624,2012-06-27,12:33:00,0000000  US HWY 281 N,29.62358,-98.4615753,3150.0,NORTH,59.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,78.0,78.0,SILVER,CAD,CTS,TX,2005.0,W,--,--,,,
63701,63701,696878|696879,2014-09-23,08:17:00,0000300SW36TH                                                                                                ST,29.4241219,-98.4936282,2120.0,CENTRAL,59.0,black,female,vehicular,UNSAFE SPEED|SPEEDING IN SCHOOL ZONE,False,True,citation,,False,,45.0,45.0,BLACK,AUDI,A5,TX,2014.0,B,-|--,-|--,,,
4672,4672,1199499,2017-05-27,16:29:00,0001000  US HWY 90 W,29.42277349999999,-98.5819507,5140.0,WEST,52.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,85.0,85.0,SILVER,PDF,PDF,TX,2012.0,W,--,--,,,
46251,46251,569404,2014-03-20,02:27:00,NELOOP 410,29.4700249,-98.40664350000002,4350.0,EAST,22.0,black,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,79.0,79.0,GRAY,SCI,TC,TX,2014.0,B,--,--,No Search,No,No
17207,17207,1186826|1186827|1186828,2017-05-04,08:18:00,0005700S NEW BRAUNFELS AVE,29.36928949999999,-98.4607478,6240.0,SOUTH,17.0,hispanic,male,vehicular,IMPROPER LANE CHANGE -SIGNAL|SPEEDING IN SCHOOL ZONE|UNSAFE SPEED,False,True,citation,,False,,50.0,50.0,SILVER,GMC,YUK,TX,2004.0,H,-|--|-,-|--|-,,,
64230,64230,1105857,2016-11-11,11:25:00,0003800  IH 35 S,29.3823745,-98.5122472,6210.0,SOUTH,39.0,white,male,vehicular,SPEEDING-POSTED LIMIT,False,True,citation,,False,,72.0,72.0,SILVER,GMC,ACA,TX,2016.0,W,--,--,,,
